review_id,text,language,rating,sentiment,product_category
63005481_rev_3,لماذا تتوقف المقاومة وتتراجع أثناء الطهي؟ أجهزة الأمن؟ التدفئة؟ أين خطأ؟,arabic,4.0,positive,"Maison, cuisine & bureau"
mpg1544888_rev_4,ويتعين عليّ ربط جهاز استقبال خارجي,arabic,3.0,neutral,TV & HIGH TECH
mpg915615_rev_4,منتج جيد جداً ، مرضي جداً,arabic,5.0,positive,TV & HIGH TECH
65589111_rev_4,سوء الجودة,arabic,1.0,negative,Sports & Loisirs
mpg1447127_rev_3,منتج ممتاز يعمل بشكل مثالي، يتم تسليمها في الوقت المناسب.,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg1539036_rev_4,أداة جيدة بشكل عام، ولكن يوتيوب خطأ ويحتاج إلى إعادة تعيينها للعمل، وليس من المستغرب أن النسخة Android المثبتة ليست معتمدة من قبل جوجل. وإلا فإن التطبيقات الأخرى تعمل بشكل صحيح.,arabic,3.0,neutral,TV & HIGH TECH
65661061_rev_5,كما هو موضح، تقرير جودة الأسعار,arabic,5.0,positive,Sports & Loisirs
34408767_rev_3,جودة جيدة جداً / قوية جداً / تسليم سريع جداً.,arabic,5.0,positive,"Maison, cuisine & bureau"
67154065_rev_3,أنا أحبك,arabic,5.0,positive,TV & HIGH TECH
67489671_rev_4,أجهزة ممتازة، وأوصي بتسليم السرعة السريعة في المقام الأول!,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg1446650_rev_3,منتج جيد,arabic,5.0,positive,"Maison, cuisine & bureau"
62879137_rev_4,لم يعمل,arabic,1.0,negative,TV & HIGH TECH
mpg73701_rev_4,لا تقلق، لا تقلق.,arabic,3.0,neutral,Sports & Loisirs
67406571_rev_3,فعّال، فاعل من الضجيج,arabic,5.0,positive,"Maison, cuisine & bureau"
67089414_rev_3,قابلة للتآكل ، بعد شهر واحد ، مقاومة أكثر من العلامات التجارية الأخرى ولكن أيضا قابلة للتآكل.,arabic,3.0,neutral,"Maison, cuisine & bureau"
60222551_rev_6,يوتيوب لا يعمل ولا نيتفليكس,arabic,1.0,negative,TV & HIGH TECH
61861572_rev_3,من الجودة الجيدة ، فإنه يخلط بشكل جيد ولا يُسخن بسرعة,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg1398081_rev_5,يذكر الحجم XXL ، C'EST FAUX على لا يمكن أن تضع دجاج ????,arabic,2.0,negative,"Maison, cuisine & bureau"
mpg1556186_rev_4,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,arabic,1.0,negative,"Maison, cuisine & bureau"
mpg1197097_rev_5,ج جيد جدا,arabic,5.0,positive,TV & HIGH TECH
60805500_rev_3,الجودة,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg46159_rev_5,الهشاشة,arabic,3.0,neutral,Sports & Loisirs
65029886_rev_3,حسناً ???? ماذا؟,arabic,3.0,neutral,TV & HIGH TECH
41072832_rev_4,عزيزي جدا,arabic,1.0,negative,"Maison, cuisine & bureau"
41127675_rev_4,تفتقر إلى جميع أدوات التجميع، وليس محترفًا على الإطلاق.,arabic,2.0,negative,Sports & Loisirs
mpg77329_rev_4,الجودة العظيمة,arabic,1.0,negative,TV & HIGH TECH
mpg886687_rev_6,سهلة التصوير سهلة النقل سعر ميسور,arabic,4.0,positive,TV & HIGH TECH
65743968_rev_3,لا يكون البلاستيك في المطبوعات الصمغية صلباً إذا كسر بسرعة في المرحلة الأولى من الاستخدام، وظهرت شقوق.,arabic,3.0,neutral,"Maison, cuisine & bureau"
mpg1398157_rev_4,الأوضاع المحددة مسبقاً ليست صحيحة تماماً، ويتعين إعادة ضبط الخلفية في كل مرة لإغلاقها بشكل صحيح.,arabic,3.0,neutral,"Maison, cuisine & bureau"
65589111_rev_3,يظهر رائحة قوية من المطاط.,arabic,1.0,negative,Sports & Loisirs
61067628_rev_4,أنا أوصي بذلك,arabic,5.0,positive,Sports & Loisirs
mpg1146244_rev_5,ثمن Bon Rapport على الجودة، ولكن ليس على القمة :) ,arabic,3.0,neutral,Sports & Loisirs
67315506_rev_5,ممتاز، لا يوجد سوى بلوتوث.,arabic,5.0,positive,TV & HIGH TECH
65769100_rev_5,15 لترًا صحيحًا ولكن التوزيع هو صفر 7.5 لترًا صغيرًا جدًا من حيث الحجم البصري ومفيدًا جدًا من مقلاة 5 لترًا.,arabic,1.0,negative,"Maison, cuisine & bureau"
67236474_rev_3,الضغط؟ لا حقاً، المادة والمرونة خفيفة جداً للاضغط على أي شيء.,arabic,3.0,neutral,Sports & Loisirs
mpg1141377_rev_4,لا بأس بذلك.,arabic,3.0,neutral,Sports & Loisirs
62172946_rev_4,الجودة الجيدة,arabic,4.0,positive,TV & HIGH TECH
65603595_rev_4,لم يتم تسليم المنتج الذي طلبته ولم يتم سداد طلبي منذ 28 يوماً ... خدمة العملاء ضعيفة !!!!,arabic,1.0,negative,TV & HIGH TECH
38716040_rev_5,كان المنتج مُقدمًا مع الدعم المشمول، وعند التسليم لم أجد سوى التلفاز، وعندما أطلقت على الشركة، قالت إنها ستعيد لي 50 ألف دولار على حسابي، ولم يتم فعل أي شيء.,arabic,1.0,negative,TV & HIGH TECH
58732551_rev_3,حسناً جداً,arabic,5.0,positive,"Maison, cuisine & bureau"
66568316_rev_4,جمع جيد، منتج ممتاز.,arabic,5.0,positive,Sports & Loisirs
61364653_rev_3,إن الطهي سريع، والأجزاء تتحول إلى غسالة الأطباق، وحجمها كبير (للوصول إلى فكرة يمكنه أن يطبخ 4 طلاء من الدجاج انظر 5),arabic,5.0,positive,"Maison, cuisine & bureau"
62631204_rev_3,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء,arabic,2.0,negative,Sports & Loisirs
41570626_rev_4,إنّه يفتقر إلى البطاقة الصغيرة.,arabic,3.0,neutral,TV & HIGH TECH
41086042_rev_3,لا تقلق، لا تقلق.,arabic,3.0,neutral,TV & HIGH TECH
62807295_rev_4,قم بالقيام بالعملية ولكن ليس على القمة,arabic,3.0,neutral,"Maison, cuisine & bureau"
57121603_rev_6,Bon Bon Bon,arabic,5.0,positive,Sports & Loisirs
mpg1556169_rev_5,سوء الجودة,arabic,1.0,negative,"Maison, cuisine & bureau"
mpg923468_rev_5,ضعيف بعض الشيء ومستقر في المتوسط، ويهدف فقط للمبتدئين.,arabic,2.0,negative,TV & HIGH TECH
mpg46159_rev_5,الهشاشة,arabic,3.0,neutral,Sports & Loisirs
mpg1556186_rev_4,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,arabic,1.0,negative,"Maison, cuisine & bureau"
65758989_rev_3,إن المنتج كاذب، والجودة لا تشمل 4K كما هو موضح، والصورة سيئة للغاية وخيبة أمل كبيرة.,arabic,1.0,negative,TV & HIGH TECH
67273093_rev_4,لا أوصي بذلك.,arabic,1.0,negative,"Maison, cuisine & bureau"
mpg1544876_rev_4,أبعاد هذا المنتج ليست نفسها التي تظهر.,arabic,4.0,positive,"Maison, cuisine & bureau"
50632533_rev_3,أوصي بهذا المنتج,arabic,5.0,positive,TV & HIGH TECH
mpg1488197_rev_3,منتج جيد ويتوافق مع الإعلان,arabic,5.0,positive,"Maison, cuisine & bureau"
64860106_rev_3,منتج جيد,arabic,4.0,positive,Sports & Loisirs
mpg1347370_rev_4,فصيلة من السلاسل الضعيفة للغاية!,arabic,2.0,negative,Sports & Loisirs
65014321_rev_5,يفتقر قطعة مهمة، وبالتالي فإن المنتج لا يمكن استخدامه.,arabic,1.0,negative,TV & HIGH TECH
37934532_rev_3,صغيرا جداً (الصور تشير إلى العكس) ، وأدى قوياً جداً وغير منتشراً، مما يخلق انعكاسات هائلة.,arabic,2.0,negative,TV & HIGH TECH
66549012_rev_3,مقالة جيدة,arabic,5.0,positive,"Maison, cuisine & bureau"
61115189_rev_6,ويتوقف الشاشة عن الاتصال مع أقل حركة.,arabic,1.0,negative,TV & HIGH TECH
48359761_rev_5,كنت أتمنى أن يتم بيع الراديو مع مفتاح USB الخاص به... لأن صعوبة في العثور على مفتاح USB متوافق,arabic,3.0,neutral,TV & HIGH TECH
64217699_rev_4,هذا يتوافق مع الصورة ولكن الفضاء يفتقر إلى جزء مهم: مضخم الإشارة.,arabic,2.0,negative,TV & HIGH TECH
54195731_rev_3,العرس ,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg1544863_rev_3,تروس بون,arabic,5.0,positive,TV & HIGH TECH
62807295_rev_4,قم بالقيام بالعملية ولكن ليس على القمة,arabic,3.0,neutral,"Maison, cuisine & bureau"
38716040_rev_5,كان المنتج مُقدمًا مع الدعم المشمول، وعند التسليم لم أجد سوى التلفاز، وعندما أطلقت على الشركة، قالت إنها ستعيد لي 50 ألف دولار على حسابي، ولم يتم فعل أي شيء.,arabic,1.0,negative,TV & HIGH TECH
67273093_rev_5,جوميا أيضا لا ثقة ولا حماية المستهلك الخبرة السيئة مع شراء جوميا يجب أن تشتري مباشرة من المتجر لا ثقة,arabic,1.0,negative,"Maison, cuisine & bureau"
56048220_rev_3,لم أكن راضًا على الإطلاق، بل وصلت طلبي يوم السبت 03 سبتمبر مع خصم حوالي الساعة 11 صباحًا، ولم أستلم إلا يوم الاثنين 05 سبتمبر.,arabic,1.0,negative,Sports & Loisirs
