,product_id,product_name,product_category,review_id,stars,review_text,review_length,language,sentiment,text_length,word_count
0,63005481,Lamacom Four électrique 9L 650W,"Maison, cuisine & bureau",63005481_rev_3,4.0,لماذا تتوقف المقاومة وتتراجع أثناء الطهي؟ أجهزة الأمن؟ التدفئة؟ أين خطأ؟,123,arabic,positive,72,11
1,mpg1544888,"Samsung 32 HD Smart TV One UI Tizen, HDR, TV Plus gratuit + Support Gratuit, 32H5000F",TV & HIGH TECH,mpg1544888_rev_4,3.0,ويتعين عليّ ربط جهاز استقبال خارجي,39,arabic,neutral,34,6
2,mpg915615,"Microphone Micro-Cravate Pour iPhone Mic PROFESSIONNEL,Cable 1.5 m, Voix Hi-Fi , Enregistrement audio et vidéo",TV & HIGH TECH,mpg915615_rev_4,5.0,منتج جيد جداً ، مرضي جداً,36,arabic,positive,25,6
3,65589111,"Ceinture de soutien ajustable pour les épaules,Protège d'épaule pour Sport pour Femme et homme",Sports & Loisirs,65589111_rev_4,1.0,سوء الجودة,16,arabic,negative,10,2
4,mpg1447127,Homy Hachoir à Viande puissant avec Fabricant de Saucisses BLANC,"Maison, cuisine & bureau",mpg1447127_rev_3,5.0,منتج ممتاز يعمل بشكل مثالي، يتم تسليمها في الوقت المناسب.,67,arabic,positive,57,10
5,mpg1539036,X96 PRO Smart TV BOX Dual Wifi 4Go+64Go Allwinner H616 6K ANDROID 15,TV & HIGH TECH,mpg1539036_rev_4,3.0,أداة جيدة بشكل عام، ولكن يوتيوب خطأ ويحتاج إلى إعادة تعيينها للعمل، وليس من المستغرب أن النسخة Android المثبتة ليست معتمدة من قبل جوجل. وإلا فإن التطبيقات الأخرى تعمل بشكل صحيح.,238,arabic,neutral,177,31
6,65661061,Parasol de Plage Portable avec Protection UV pour Jardin et Camping 180x180cm,Sports & Loisirs,65661061_rev_5,5.0,كما هو موضح، تقرير جودة الأسعار,47,arabic,positive,31,6
7,34408767,"Bosch MSM2650B Mixeur plongeant 3en1,blender, batteur et hachoir ,noir ,600w ,système QuattroBlade","Maison, cuisine & bureau",34408767_rev_3,5.0,جودة جيدة جداً / قوية جداً / تسليم سريع جداً.,72,arabic,positive,45,10
8,67154065,"TENTEN Smart TV Android 32” – Android 14.0 , Dolby Audio , HD 720 , Wi-Fi, HDMI, USB",TV & HIGH TECH,67154065_rev_3,5.0,أنا أحبك,6,arabic,positive,8,2
9,67489671,Moulinex YAOURTIERE YOGURTEO 7POTS YG231E32,"Maison, cuisine & bureau",67489671_rev_4,5.0,أجهزة ممتازة، وأوصي بتسليم السرعة السريعة في المقام الأول!,61,arabic,positive,58,9
10,mpg1446650,Clatronic Machine à gauffre - Waffle maker Automat - Gaufres Belges de Bruxelles - 2 plaques,"Maison, cuisine & bureau",mpg1446650_rev_3,5.0,منتج جيد,11,arabic,positive,8,2
11,62879137,Télécommande vocale Bluetooth pour MI TV Stick MI Box 4K Xiaomi Smart TV,TV & HIGH TECH,62879137_rev_4,1.0,لم يعمل,17,arabic,negative,7,2
12,mpg73701,ORIGINAL Débardeur Gainant Gilet pour perdre du Poids Ventre & Reins avec Couture fort minceur sans manches T-shirt élastique - blanc,Sports & Loisirs,mpg73701_rev_4,3.0,لا تقلق، لا تقلق.,7,arabic,neutral,17,4
13,67406571,Taurus Aspirateur Vortex Carpet 600 - Avec Fil - 2 en 1,"Maison, cuisine & bureau",67406571_rev_3,5.0,فعّال، فاعل من الضجيج,23,arabic,positive,21,4
14,67089414,"Taurus Bouilloire en Verre Siena Glass 2200 W, 1,7L acier inoxydable - 2 ans de garantie","Maison, cuisine & bureau",67089414_rev_3,3.0,قابلة للتآكل ، بعد شهر واحد ، مقاومة أكثر من العلامات التجارية الأخرى ولكن أيضا قابلة للتآكل.,84,arabic,neutral,93,17
15,60222551,X96 X96Q PRO Smart TV BOX Dual Wifi 4Go+32Go Allwinner H616 6K ANDROID 15,TV & HIGH TECH,60222551_rev_6,1.0,يوتيوب لا يعمل ولا نيتفليكس,64,arabic,negative,27,5
16,61861572,Bosch Mixeur plongeant en acier inoxydable lames QuattroBlade 12vitesses 1000w noir,"Maison, cuisine & bureau",61861572_rev_3,5.0,من الجودة الجيدة ، فإنه يخلط بشكل جيد ولا يُسخن بسرعة,64,arabic,positive,53,11
17,mpg1398081,Kumtel Friteuse sans huile 1500Watts - Air fryer - Taille XXL - 8 programmes,"Maison, cuisine & bureau",mpg1398081_rev_5,2.0,يذكر الحجم XXL ، C'EST FAUX على لا يمكن أن تضع دجاج ????,77,arabic,negative,56,13
18,mpg1556186,Kenz Mixeur Plongeant avec 2 vitesses – Gris/blanc.,"Maison, cuisine & bureau",mpg1556186_rev_4,1.0,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,63,arabic,negative,45,8
19,mpg1197097,"Puluz Mini Studio Light Box Pliable Lightbox LED, Pour Produit Photographie - 6 Couleurs",TV & HIGH TECH,mpg1197097_rev_5,5.0,ج جيد جدا,11,arabic,positive,9,3
20,60805500,Daiko Grill panini en acier inoxydable antiadhésif en granite - 1400w - Noir,"Maison, cuisine & bureau",60805500_rev_3,5.0,الجودة,7,arabic,positive,6,1
21,mpg46159,Tentes de Camping 4 PERSONNES Multicouleurs 208x208x145 cm,Sports & Loisirs,mpg46159_rev_5,3.0,الهشاشة,7,arabic,neutral,7,1
22,65029886,"Support de Téléphone et GoPro réglable avec sangle de poitrine, fixation rapide",TV & HIGH TECH,65029886_rev_3,3.0,حسناً ???? ماذا؟,14,arabic,neutral,16,3
23,41072832,Taurus Blender Active Professional 1500w Bol incassable 2L - 2 ans de garantie,"Maison, cuisine & bureau",41072832_rev_4,1.0,عزيزي جدا,10,arabic,negative,9,2
