review_id,text,rating,sentiment,product_category,text_clean_classique,text_clean_light
1,Great value for money,4,positive,fashion,great value money,great value for money
2,"I love it, will definitely buy again",5,positive,home,love definitely buy,"i love it, will definitely buy again"
3,Works perfectly and arrived quickly,5,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
4,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
5,"Terrible product, broke after one use",1,negative,home,terrible product broke one use,"terrible product, broke after one use"
6,It works as expected,3,neutral,home,work expected,it works as expected
7,Decent quality for the price,3,neutral,electronics,decent quality price,decent quality for the price
8,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
9,Very disappointed with the quality,2,negative,electronics,disappointed quality,very disappointed with the quality
10,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
11,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
12,Very disappointed with the quality,2,negative,fashion,disappointed quality,very disappointed with the quality
13,"Excellent product, very satisfied with the quality",4,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
14,It works as expected,3,neutral,electronics,work expected,it works as expected
15,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
16,Poor performance and bad design,1,negative,fashion,poor performance bad design,poor performance and bad design
17,"I love it, will definitely buy again",4,positive,fashion,love definitely buy,"i love it, will definitely buy again"
18,"Terrible product, broke after one use",1,negative,electronics,terrible product broke one use,"terrible product, broke after one use"
19,Customer service was awful,1,negative,fashion,customer service awful,customer service was awful
20,"Excellent product, very satisfied with the quality",5,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
21,It works as expected,3,neutral,electronics,work expected,it works as expected
22,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
23,"Excellent product, very satisfied with the quality",5,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
24,Great value for money,4,positive,electronics,great value money,great value for money
25,Works perfectly and arrived quickly,4,positive,electronics,work perfectly arrived quickly,works perfectly and arrived quickly
26,"Waste of money, not recommended",1,negative,fashion,waste money recommended,"waste of money, not recommended"
27,"I love it, will definitely buy again",4,positive,fashion,love definitely buy,"i love it, will definitely buy again"
28,Poor performance and bad design,1,negative,fashion,poor performance bad design,poor performance and bad design
29,Poor performance and bad design,2,negative,electronics,poor performance bad design,poor performance and bad design
30,"It's okay, does the job",3,neutral,electronics,okay job,"it's okay, does the job"
31,"Terrible product, broke after one use",1,negative,electronics,terrible product broke one use,"terrible product, broke after one use"
32,"Amazing experience, highly recommend this",4,positive,home,amazing experience highly recommend,"amazing experience, highly recommend this"
33,"Excellent product, very satisfied with the quality",5,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
34,Customer service was awful,1,negative,electronics,customer service awful,customer service was awful
35,Not bad but not great either,3,neutral,fashion,bad great either,not bad but not great either
36,Poor performance and bad design,1,negative,home,poor performance bad design,poor performance and bad design
37,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
38,"Average product, nothing special",3,neutral,fashion,average product nothing special,"average product, nothing special"
39,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
40,Works perfectly and arrived quickly,5,positive,fashion,work perfectly arrived quickly,works perfectly and arrived quickly
41,Very disappointed with the quality,1,negative,fashion,disappointed quality,very disappointed with the quality
42,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
43,It works as expected,3,neutral,electronics,work expected,it works as expected
44,Great value for money,4,positive,fashion,great value money,great value for money
45,Not bad but not great either,3,neutral,electronics,bad great either,not bad but not great either
46,Customer service was awful,2,negative,electronics,customer service awful,customer service was awful
47,"Waste of money, not recommended",2,negative,fashion,waste money recommended,"waste of money, not recommended"
48,Great value for money,4,positive,home,great value money,great value for money
49,Works perfectly and arrived quickly,4,positive,fashion,work perfectly arrived quickly,works perfectly and arrived quickly
50,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
51,Customer service was awful,2,negative,home,customer service awful,customer service was awful
52,Works perfectly and arrived quickly,5,positive,electronics,work perfectly arrived quickly,works perfectly and arrived quickly
53,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
54,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
55,"Excellent product, very satisfied with the quality",4,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
56,"Amazing experience, highly recommend this",4,positive,electronics,amazing experience highly recommend,"amazing experience, highly recommend this"
57,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
58,"Terrible product, broke after one use",2,negative,home,terrible product broke one use,"terrible product, broke after one use"
59,"Terrible product, broke after one use",2,negative,fashion,terrible product broke one use,"terrible product, broke after one use"
60,"Average product, nothing special",3,neutral,fashion,average product nothing special,"average product, nothing special"
61,"Terrible product, broke after one use",2,negative,fashion,terrible product broke one use,"terrible product, broke after one use"
62,Very disappointed with the quality,2,negative,home,disappointed quality,very disappointed with the quality
63,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
