review_id,text,rating,sentiment,product_category
1,Great value for money,4,positive,fashion
2,"I love it, will definitely buy again",5,positive,home
3,Works perfectly and arrived quickly,5,positive,home
4,Decent quality for the price,3,neutral,fashion
5,"Terrible product, broke after one use",1,negative,home
6,It works as expected,3,neutral,home
7,Decent quality for the price,3,neutral,electronics
8,Not bad but not great either,3,neutral,home
9,Very disappointed with the quality,2,negative,electronics
10,Decent quality for the price,3,neutral,fashion
11,Decent quality for the price,3,neutral,fashion
12,Very disappointed with the quality,2,negative,fashion
13,"Excellent product, very satisfied with the quality",4,positive,fashion
14,It works as expected,3,neutral,electronics
15,"I love it, will definitely buy again",4,positive,electronics
16,Poor performance and bad design,1,negative,fashion
17,"I love it, will definitely buy again",4,positive,fashion
18,"Terrible product, broke after one use",1,negative,electronics
19,Customer service was awful,1,negative,fashion
20,"Excellent product, very satisfied with the quality",5,positive,electronics
21,It works as expected,3,neutral,electronics
22,"I love it, will definitely buy again",4,positive,electronics
23,"Excellent product, very satisfied with the quality",5,positive,fashion
24,Great value for money,4,positive,electronics
25,Works perfectly and arrived quickly,4,positive,electronics
26,"Waste of money, not recommended",1,negative,fashion
27,"I love it, will definitely buy again",4,positive,fashion
28,Poor performance and bad design,1,negative,fashion
29,Poor performance and bad design,2,negative,electronics
30,"It's okay, does the job",3,neutral,electronics
31,"Terrible product, broke after one use",1,negative,electronics
32,"Amazing experience, highly recommend this",4,positive,home
33,"Excellent product, very satisfied with the quality",5,positive,electronics
34,Customer service was awful,1,negative,electronics
35,Not bad but not great either,3,neutral,fashion
36,Poor performance and bad design,1,negative,home
37,"It's okay, does the job",3,neutral,fashion
38,"Average product, nothing special",3,neutral,fashion
39,"I love it, will definitely buy again",4,positive,electronics
40,Works perfectly and arrived quickly,5,positive,fashion
41,Very disappointed with the quality,1,negative,fashion
42,Not bad but not great either,3,neutral,home
43,It works as expected,3,neutral,electronics
44,Great value for money,4,positive,fashion
45,Not bad but not great either,3,neutral,electronics
46,Customer service was awful,2,negative,electronics
47,"Waste of money, not recommended",2,negative,fashion
48,Great value for money,4,positive,home
49,Works perfectly and arrived quickly,4,positive,fashion
50,Not bad but not great either,3,neutral,home
51,Customer service was awful,2,negative,home
52,Works perfectly and arrived quickly,5,positive,electronics
53,Decent quality for the price,3,neutral,home
54,"Average product, nothing special",3,neutral,home
55,"Excellent product, very satisfied with the quality",4,positive,fashion
56,"Amazing experience, highly recommend this",4,positive,electronics
57,"Average product, nothing special",3,neutral,home
58,"Terrible product, broke after one use",2,negative,home
59,"Terrible product, broke after one use",2,negative,fashion
60,"Average product, nothing special",3,neutral,fashion
61,"Terrible product, broke after one use",2,negative,fashion
62,Very disappointed with the quality,2,negative,home
63,"I love it, will definitely buy again",4,positive,electronics
64,"Excellent product, very satisfied with the quality",5,positive,electronics
65,"Average product, nothing special",3,neutral,home
66,Poor performance and bad design,1,negative,home
67,"Amazing experience, highly recommend this",5,positive,fashion
68,"It's okay, does the job",3,neutral,fashion
69,Customer service was awful,1,negative,home
70,Works perfectly and arrived quickly,4,positive,home
71,Customer service was awful,2,negative,home
72,Decent quality for the price,3,neutral,home
73,It works as expected,3,neutral,fashion
74,Customer service was awful,2,negative,electronics
75,"Average product, nothing special",3,neutral,home
76,It works as expected,3,neutral,electronics
77,It works as expected,3,neutral,electronics
78,Not bad but not great either,3,neutral,home
79,Very disappointed with the quality,1,negative,fashion
80,Poor performance and bad design,2,negative,fashion
81,"Amazing experience, highly recommend this",4,positive,electronics
82,"It's okay, does the job",3,neutral,fashion
83,It works as expected,3,neutral,fashion
84,"Waste of money, not recommended",1,negative,electronics
85,"Terrible product, broke after one use",1,negative,electronics
86,"I love it, will definitely buy again",5,positive,home
87,Great value for money,4,positive,fashion
88,Great value for money,4,positive,home
89,"Waste of money, not recommended",2,negative,fashion
90,"Excellent product, very satisfied with the quality",5,positive,fashion
91,Great value for money,5,positive,electronics
92,"I love it, will definitely buy again",5,positive,electronics
93,"Amazing experience, highly recommend this",4,positive,fashion
94,Works perfectly and arrived quickly,4,positive,home
95,"Terrible product, broke after one use",1,negative,home
96,Works perfectly and arrived quickly,4,positive,home
97,"Terrible product, broke after one use",1,negative,fashion
98,"I love it, will definitely buy again",5,positive,home
99,Very disappointed with the quality,1,negative,fashion
100,"Average product, nothing special",3,neutral,electronics
101,Works perfectly and arrived quickly,4,positive,electronics
102,"Waste of money, not recommended",2,negative,home
103,Works perfectly and arrived quickly,5,positive,home
104,"I love it, will definitely buy again",4,positive,fashion
105,Very disappointed with the quality,1,negative,electronics
106,Customer service was awful,2,negative,fashion
107,Poor performance and bad design,1,negative,fashion
108,It works as expected,3,neutral,home
109,"Terrible product, broke after one use",1,negative,fashion
110,Customer service was awful,2,negative,fashion
111,"It's okay, does the job",3,neutral,fashion
112,Poor performance and bad design,2,negative,electronics
113,"I love it, will definitely buy again",5,positive,electronics
114,Poor performance and bad design,2,negative,electronics
115,"It's okay, does the job",3,neutral,fashion
116,It works as expected,3,neutral,fashion
117,"Amazing experience, highly recommend this",5,positive,electronics
118,"Average product, nothing special",3,neutral,electronics
119,"Terrible product, broke after one use",2,negative,home
120,"Excellent product, very satisfied with the quality",4,positive,electronics
121,Poor performance and bad design,2,negative,home
122,"Waste of money, not recommended",2,negative,electronics
123,Very disappointed with the quality,2,negative,electronics
124,"Waste of money, not recommended",2,negative,home
125,"It's okay, does the job",3,neutral,home
126,"Amazing experience, highly recommend this",4,positive,home
127,Not bad but not great either,3,neutral,home
128,"Average product, nothing special",3,neutral,fashion
129,"Average product, nothing special",3,neutral,home
130,Poor performance and bad design,2,negative,home
131,Great value for money,4,positive,home
132,Not bad but not great either,3,neutral,electronics
133,Works perfectly and arrived quickly,5,positive,home
134,"Amazing experience, highly recommend this",5,positive,fashion
135,It works as expected,3,neutral,fashion
136,"It's okay, does the job",3,neutral,home
137,Great value for money,5,positive,electronics
138,Not bad but not great either,3,neutral,electronics
139,"It's okay, does the job",3,neutral,electronics
140,Very disappointed with the quality,2,negative,electronics
141,Great value for money,5,positive,home
142,Customer service was awful,2,negative,home
143,"It's okay, does the job",3,neutral,electronics
144,Decent quality for the price,3,neutral,home
145,Great value for money,4,positive,electronics
146,"It's okay, does the job",3,neutral,home
147,"It's okay, does the job",3,neutral,electronics
148,Decent quality for the price,3,neutral,home
149,"Terrible product, broke after one use",2,negative,electronics
150,"I love it, will definitely buy again",5,positive,electronics
151,It works as expected,3,neutral,home
152,Works perfectly and arrived quickly,4,positive,electronics
153,Decent quality for the price,3,neutral,home
154,Customer service was awful,1,negative,electronics
155,It works as expected,3,neutral,fashion
156,Customer service was awful,1,negative,fashion
157,Works perfectly and arrived quickly,5,positive,home
158,Works perfectly and arrived quickly,5,positive,home
159,Not bad but not great either,3,neutral,fashion
160,Decent quality for the price,3,neutral,fashion
161,Decent quality for the price,3,neutral,fashion
162,Customer service was awful,2,negative,electronics
163,"Excellent product, very satisfied with the quality",4,positive,electronics
164,"Excellent product, very satisfied with the quality",5,positive,home
165,It works as expected,3,neutral,home
166,"Excellent product, very satisfied with the quality",4,positive,fashion
167,"It's okay, does the job",3,neutral,home
168,It works as expected,3,neutral,fashion
169,Decent quality for the price,3,neutral,home
170,"Excellent product, very satisfied with the quality",4,positive,fashion
171,Customer service was awful,1,negative,electronics
172,"Excellent product, very satisfied with the quality",4,positive,home
173,"Amazing experience, highly recommend this",5,positive,fashion
174,Very disappointed with the quality,2,negative,fashion
175,Not bad but not great either,3,neutral,home
176,"Terrible product, broke after one use",2,negative,home
177,"Excellent product, very satisfied with the quality",4,positive,fashion
178,Works perfectly and arrived quickly,4,positive,home
179,"Waste of money, not recommended",2,negative,home
180,It works as expected,3,neutral,electronics
181,Decent quality for the price,3,neutral,electronics
182,"It's okay, does the job",3,neutral,home
183,Great value for money,5,positive,electronics
184,It works as expected,3,neutral,electronics
185,It works as expected,3,neutral,home
186,"Terrible product, broke after one use",2,negative,electronics
187,"Amazing experience, highly recommend this",4,positive,electronics
188,"Amazing experience, highly recommend this",5,positive,home
189,"Average product, nothing special",3,neutral,home
190,"Terrible product, broke after one use",2,negative,fashion
191,"Average product, nothing special",3,neutral,electronics
192,"Waste of money, not recommended",1,negative,electronics
193,"Excellent product, very satisfied with the quality",4,positive,home
194,Poor performance and bad design,2,negative,fashion
195,Very disappointed with the quality,1,negative,home
196,"Terrible product, broke after one use",2,negative,home
197,Works perfectly and arrived quickly,5,positive,home
198,"It's okay, does the job",3,neutral,fashion
199,Not bad but not great either,3,neutral,home
200,Not bad but not great either,3,neutral,home
201,"It's okay, does the job",3,neutral,electronics
202,"It's okay, does the job",3,neutral,fashion
203,Customer service was awful,2,negative,electronics
204,Decent quality for the price,3,neutral,fashion
205,Customer service was awful,1,negative,fashion
206,"Terrible product, broke after one use",1,negative,home
207,It works as expected,3,neutral,fashion
208,Very disappointed with the quality,1,negative,electronics
209,"Amazing experience, highly recommend this",4,positive,electronics
210,Very disappointed with the quality,1,negative,electronics
211,"Amazing experience, highly recommend this",5,positive,home
212,"Amazing experience, highly recommend this",5,positive,home
213,Decent quality for the price,3,neutral,fashion
214,"It's okay, does the job",3,neutral,home
215,"Excellent product, very satisfied with the quality",5,positive,electronics
216,"It's okay, does the job",3,neutral,fashion
217,Poor performance and bad design,1,negative,electronics
218,Poor performance and bad design,2,negative,home
219,"Average product, nothing special",3,neutral,fashion
220,Not bad but not great either,3,neutral,home
221,"Excellent product, very satisfied with the quality",4,positive,electronics
222,Decent quality for the price,3,neutral,home
223,"It's okay, does the job",3,neutral,fashion
224,"It's okay, does the job",3,neutral,electronics
225,Very disappointed with the quality,2,negative,fashion
226,Not bad but not great either,3,neutral,home
227,"Waste of money, not recommended",2,negative,home
228,Customer service was awful,1,negative,home
229,"Excellent product, very satisfied with the quality",5,positive,electronics
230,Very disappointed with the quality,2,negative,fashion
231,Poor performance and bad design,2,negative,electronics
232,Not bad but not great either,3,neutral,electronics
233,Great value for money,5,positive,electronics
234,Customer service was awful,2,negative,home
235,"I love it, will definitely buy again",4,positive,home
236,Decent quality for the price,3,neutral,home
237,Poor performance and bad design,2,negative,fashion
238,Very disappointed with the quality,2,negative,electronics
239,Decent quality for the price,3,neutral,home
240,"It's okay, does the job",3,neutral,fashion
241,Very disappointed with the quality,1,negative,home
242,Very disappointed with the quality,1,negative,electronics
243,"Terrible product, broke after one use",2,negative,electronics
244,"Waste of money, not recommended",2,negative,home
245,"It's okay, does the job",3,neutral,fashion
246,It works as expected,3,neutral,home
247,"Average product, nothing special",3,neutral,home
248,Works perfectly and arrived quickly,4,positive,electronics
249,"I love it, will definitely buy again",4,positive,electronics
250,"Excellent product, very satisfied with the quality",4,positive,home
251,Poor performance and bad design,1,negative,fashion
252,Great value for money,4,positive,home
253,"Terrible product, broke after one use",2,negative,home
254,Not bad but not great either,3,neutral,fashion
255,"It's okay, does the job",3,neutral,electronics
256,Not bad but not great either,3,neutral,electronics
257,Great value for money,5,positive,home
258,Not bad but not great either,3,neutral,fashion
259,"I love it, will definitely buy again",4,positive,home
260,"It's okay, does the job",3,neutral,home
261,"Excellent product, very satisfied with the quality",5,positive,home
262,Works perfectly and arrived quickly,4,positive,home
263,Poor performance and bad design,1,negative,home
264,"I love it, will definitely buy again",4,positive,fashion
265,"Waste of money, not recommended",2,negative,home
266,"Amazing experience, highly recommend this",5,positive,fashion
267,Great value for money,5,positive,home
268,Customer service was awful,1,negative,home
269,"Excellent product, very satisfied with the quality",4,positive,electronics
270,"Average product, nothing special",3,neutral,fashion
271,Works perfectly and arrived quickly,4,positive,home
272,Great value for money,4,positive,electronics
273,"Terrible product, broke after one use",1,negative,home
274,"Waste of money, not recommended",2,negative,home
275,Not bad but not great either,3,neutral,home
276,"Average product, nothing special",3,neutral,fashion
277,Customer service was awful,2,negative,electronics
278,"Terrible product, broke after one use",2,negative,fashion
279,Decent quality for the price,3,neutral,electronics
280,Very disappointed with the quality,2,negative,home
281,It works as expected,3,neutral,home
282,Very disappointed with the quality,2,negative,fashion
283,Not bad but not great either,3,neutral,electronics
284,"Waste of money, not recommended",2,negative,fashion
285,Decent quality for the price,3,neutral,home
286,"Amazing experience, highly recommend this",4,positive,fashion
287,Customer service was awful,2,negative,electronics
288,Customer service was awful,2,negative,home
289,Great value for money,4,positive,home
290,"Amazing experience, highly recommend this",5,positive,electronics
291,"Terrible product, broke after one use",1,negative,fashion
292,"Amazing experience, highly recommend this",5,positive,fashion
293,"Excellent product, very satisfied with the quality",4,positive,electronics
294,"Average product, nothing special",3,neutral,fashion
295,Great value for money,4,positive,home
296,"I love it, will definitely buy again",5,positive,home
297,"Excellent product, very satisfied with the quality",4,positive,electronics
298,Very disappointed with the quality,2,negative,home
299,Very disappointed with the quality,2,negative,home
300,"I love it, will definitely buy again",5,positive,electronics
301,"Waste of money, not recommended",1,negative,fashion
302,Decent quality for the price,3,neutral,fashion
303,Very disappointed with the quality,1,negative,home
304,"Excellent product, very satisfied with the quality",5,positive,electronics
305,"It's okay, does the job",3,neutral,electronics
306,Decent quality for the price,3,neutral,fashion
307,Great value for money,4,positive,home
308,Not bad but not great either,3,neutral,electronics
309,It works as expected,3,neutral,home
310,"Excellent product, very satisfied with the quality",4,positive,home
311,Poor performance and bad design,2,negative,electronics
312,"It's okay, does the job",3,neutral,fashion
313,"Excellent product, very satisfied with the quality",4,positive,fashion
314,Customer service was awful,1,negative,electronics
315,"It's okay, does the job",3,neutral,home
316,"Excellent product, very satisfied with the quality",4,positive,electronics
317,Very disappointed with the quality,2,negative,electronics
318,"Excellent product, very satisfied with the quality",4,positive,home
319,Customer service was awful,1,negative,fashion
320,Very disappointed with the quality,1,negative,fashion
321,"Terrible product, broke after one use",2,negative,electronics
322,"Terrible product, broke after one use",1,negative,fashion
323,Customer service was awful,2,negative,home
324,Decent quality for the price,3,neutral,home
325,"Terrible product, broke after one use",2,negative,fashion
326,"It's okay, does the job",3,neutral,fashion
327,Not bad but not great either,3,neutral,fashion
328,"Waste of money, not recommended",1,negative,fashion
329,"Average product, nothing special",3,neutral,electronics
330,Customer service was awful,2,negative,home
331,Not bad but not great either,3,neutral,electronics
