review_id,lda_topic,lda_topic_name,bert_topic,sentiment
1,6,great bad either love buy,-1,positive
2,6,great bad either love buy,6,positive
3,3,arrived quickly perfectly work money,0,positive
4,0,quality price decent product definitely,1,neutral
5,9,product use terrible one broke,0,negative
6,2,work expected performance poor bad,-1,neutral
7,0,quality price decent product definitely,0,neutral
8,6,great bad either love buy,0,neutral
9,4,quality disappointed awful service customer,4,negative
10,0,quality price decent product definitely,6,neutral
11,0,quality price decent product definitely,0,neutral
12,4,quality disappointed awful service customer,9,negative
13,5,product quality excellent satisfied nothing,8,positive
14,2,work expected performance poor bad,1,neutral
15,6,great bad either love buy,-1,positive
16,13,bad design performance poor quality,-1,negative
17,6,great bad either love buy,-1,positive
18,9,product use terrible one broke,-1,negative
19,4,quality disappointed awful service customer,3,negative
20,5,product quality excellent satisfied nothing,0,positive
21,2,work expected performance poor bad,-1,neutral
22,6,great bad either love buy,2,positive
23,5,product quality excellent satisfied nothing,2,positive
24,6,great bad either love buy,4,positive
25,3,arrived quickly perfectly work money,3,positive
26,3,arrived quickly perfectly work money,-1,negative
27,6,great bad either love buy,5,positive
28,13,bad design performance poor quality,1,negative
29,13,bad design performance poor quality,-1,negative
30,7,okay job money quickly perfectly,2,neutral
31,9,product use terrible one broke,-1,negative
32,10,highly amazing experience recommend awful,7,positive
33,5,product quality excellent satisfied nothing,10,positive
34,4,quality disappointed awful service customer,-1,negative
35,6,great bad either love buy,10,neutral
36,13,bad design performance poor quality,4,negative
37,7,okay job money quickly perfectly,0,neutral
38,5,product quality excellent satisfied nothing,3,neutral
39,6,great bad either love buy,3,positive
40,3,arrived quickly perfectly work money,2,positive
41,4,quality disappointed awful service customer,0,negative
42,6,great bad either love buy,-1,neutral
43,2,work expected performance poor bad,1,neutral
44,6,great bad either love buy,1,positive
45,6,great bad either love buy,8,neutral
46,4,quality disappointed awful service customer,7,negative
47,3,arrived quickly perfectly work money,4,negative
48,6,great bad either love buy,1,positive
49,3,arrived quickly perfectly work money,1,positive
50,6,great bad either love buy,2,neutral
51,4,quality disappointed awful service customer,3,negative
52,3,arrived quickly perfectly work money,5,positive
53,0,quality price decent product definitely,9,neutral
54,5,product quality excellent satisfied nothing,5,neutral
55,5,product quality excellent satisfied nothing,0,positive
56,10,highly amazing experience recommend awful,0,positive
57,5,product quality excellent satisfied nothing,0,neutral
58,9,product use terrible one broke,1,negative
59,9,product use terrible one broke,3,negative
60,5,product quality excellent satisfied nothing,-1,neutral
61,9,product use terrible one broke,0,negative
62,4,quality disappointed awful service customer,-1,negative
63,6,great bad either love buy,6,positive
64,5,product quality excellent satisfied nothing,-1,positive
65,5,product quality excellent satisfied nothing,2,neutral
66,13,bad design performance poor quality,2,negative
67,10,highly amazing experience recommend awful,7,positive
68,7,okay job money quickly perfectly,3,neutral
69,4,quality disappointed awful service customer,5,negative
70,3,arrived quickly perfectly work money,3,positive
71,4,quality disappointed awful service customer,6,negative
72,0,quality price decent product definitely,3,neutral
73,2,work expected performance poor bad,1,neutral
74,4,quality disappointed awful service customer,-1,negative
75,5,product quality excellent satisfied nothing,0,neutral
76,2,work expected performance poor bad,8,neutral
77,2,work expected performance poor bad,3,neutral
78,6,great bad either love buy,-1,neutral
79,4,quality disappointed awful service customer,0,negative
80,13,bad design performance poor quality,-1,negative
81,10,highly amazing experience recommend awful,1,positive
82,7,okay job money quickly perfectly,-1,neutral
83,2,work expected performance poor bad,1,neutral
84,3,arrived quickly perfectly work money,0,negative
85,9,product use terrible one broke,3,negative
86,6,great bad either love buy,2,positive
87,6,great bad either love buy,3,positive
88,6,great bad either love buy,-1,positive
89,3,arrived quickly perfectly work money,-1,negative
90,5,product quality excellent satisfied nothing,1,positive
91,6,great bad either love buy,-1,positive
92,6,great bad either love buy,-1,positive
93,10,highly amazing experience recommend awful,6,positive
94,3,arrived quickly perfectly work money,-1,positive
95,9,product use terrible one broke,4,negative
96,3,arrived quickly perfectly work money,-1,positive
97,9,product use terrible one broke,6,negative
98,6,great bad either love buy,0,positive
99,4,quality disappointed awful service customer,0,negative
100,5,product quality excellent satisfied nothing,6,neutral
101,3,arrived quickly perfectly work money,5,positive
102,3,arrived quickly perfectly work money,3,negative
103,3,arrived quickly perfectly work money,-1,positive
104,6,great bad either love buy,4,positive
105,4,quality disappointed awful service customer,8,negative
106,4,quality disappointed awful service customer,0,negative
107,13,bad design performance poor quality,2,negative
108,2,work expected performance poor bad,2,neutral
109,9,product use terrible one broke,6,negative
110,4,quality disappointed awful service customer,0,negative
111,7,okay job money quickly perfectly,2,neutral
112,13,bad design performance poor quality,6,negative
113,6,great bad either love buy,-1,positive
114,13,bad design performance poor quality,1,negative
115,7,okay job money quickly perfectly,8,neutral
116,2,work expected performance poor bad,8,neutral
117,10,highly amazing experience recommend awful,-1,positive
118,5,product quality excellent satisfied nothing,-1,neutral
119,9,product use terrible one broke,5,negative
120,5,product quality excellent satisfied nothing,1,positive
121,13,bad design performance poor quality,8,negative
122,3,arrived quickly perfectly work money,2,negative
123,4,quality disappointed awful service customer,7,negative
124,3,arrived quickly perfectly work money,-1,negative
125,7,okay job money quickly perfectly,0,neutral
126,10,highly amazing experience recommend awful,5,positive
127,6,great bad either love buy,2,neutral
128,5,product quality excellent satisfied nothing,7,neutral
129,5,product quality excellent satisfied nothing,3,neutral
130,13,bad design performance poor quality,0,negative
131,6,great bad either love buy,-1,positive
132,6,great bad either love buy,4,neutral
133,3,arrived quickly perfectly work money,-1,positive
134,10,highly amazing experience recommend awful,0,positive
135,2,work expected performance poor bad,4,neutral
136,7,okay job money quickly perfectly,7,neutral
137,6,great bad either love buy,4,positive
138,6,great bad either love buy,-1,neutral
139,7,okay job money quickly perfectly,1,neutral
140,4,quality disappointed awful service customer,-1,negative
141,6,great bad either love buy,-1,positive
142,4,quality disappointed awful service customer,0,negative
143,7,okay job money quickly perfectly,7,neutral
144,0,quality price decent product definitely,5,neutral
145,6,great bad either love buy,4,positive
146,7,okay job money quickly perfectly,-1,neutral
147,7,okay job money quickly perfectly,1,neutral
148,0,quality price decent product definitely,2,neutral
149,9,product use terrible one broke,1,negative
150,6,great bad either love buy,0,positive
151,2,work expected performance poor bad,-1,neutral
152,3,arrived quickly perfectly work money,-1,positive
153,0,quality price decent product definitely,-1,neutral
154,4,quality disappointed awful service customer,3,negative
155,2,work expected performance poor bad,-1,neutral
156,4,quality disappointed awful service customer,-1,negative
157,3,arrived quickly perfectly work money,0,positive
158,3,arrived quickly perfectly work money,0,positive
159,6,great bad either love buy,-1,neutral
160,0,quality price decent product definitely,0,neutral
161,0,quality price decent product definitely,3,neutral
162,4,quality disappointed awful service customer,-1,negative
163,5,product quality excellent satisfied nothing,7,positive
164,5,product quality excellent satisfied nothing,1,positive
165,2,work expected performance poor bad,1,neutral
166,5,product quality excellent satisfied nothing,3,positive
167,7,okay job money quickly perfectly,0,neutral
168,2,work expected performance poor bad,0,neutral
169,0,quality price decent product definitely,1,neutral
170,5,product quality excellent satisfied nothing,2,positive
171,4,quality disappointed awful service customer,4,negative
172,5,product quality excellent satisfied nothing,3,positive
173,10,highly amazing experience recommend awful,0,positive
174,4,quality disappointed awful service customer,1,negative
175,6,great bad either love buy,3,neutral
176,9,product use terrible one broke,-1,negative
177,5,product quality excellent satisfied nothing,5,positive
178,3,arrived quickly perfectly work money,6,positive
179,3,arrived quickly perfectly work money,4,negative
180,2,work expected performance poor bad,8,neutral
181,0,quality price decent product definitely,-1,neutral
182,7,okay job money quickly perfectly,-1,neutral
183,6,great bad either love buy,2,positive
184,2,work expected performance poor bad,7,neutral
185,2,work expected performance poor bad,4,neutral
186,9,product use terrible one broke,-1,negative
187,10,highly amazing experience recommend awful,0,positive
188,10,highly amazing experience recommend awful,4,positive
189,5,product quality excellent satisfied nothing,6,neutral
190,9,product use terrible one broke,6,negative
191,5,product quality excellent satisfied nothing,0,neutral
192,3,arrived quickly perfectly work money,9,negative
193,5,product quality excellent satisfied nothing,2,positive
194,13,bad design performance poor quality,-1,negative
195,4,quality disappointed awful service customer,5,negative
196,9,product use terrible one broke,-1,negative
197,3,arrived quickly perfectly work money,6,positive
198,7,okay job money quickly perfectly,9,neutral
199,6,great bad either love buy,-1,neutral
200,6,great bad either love buy,3,neutral
201,7,okay job money quickly perfectly,2,neutral
202,7,okay job money quickly perfectly,9,neutral
203,4,quality disappointed awful service customer,2,negative
204,0,quality price decent product definitely,-1,neutral
205,4,quality disappointed awful service customer,7,negative
206,9,product use terrible one broke,-1,negative
207,2,work expected performance poor bad,-1,neutral
208,4,quality disappointed awful service customer,0,negative
209,10,highly amazing experience recommend awful,8,positive
210,4,quality disappointed awful service customer,-1,negative
211,10,highly amazing experience recommend awful,-1,positive
212,10,highly amazing experience recommend awful,1,positive
213,0,quality price decent product definitely,2,neutral
214,7,okay job money quickly perfectly,-1,neutral
215,5,product quality excellent satisfied nothing,1,positive
216,7,okay job money quickly perfectly,1,neutral
217,13,bad design performance poor quality,4,negative
218,13,bad design performance poor quality,7,negative
219,5,product quality excellent satisfied nothing,0,neutral
220,6,great bad either love buy,1,neutral
221,5,product quality excellent satisfied nothing,2,positive
222,0,quality price decent product definitely,1,neutral
223,7,okay job money quickly perfectly,-1,neutral
224,7,okay job money quickly perfectly,4,neutral
225,4,quality disappointed awful service customer,-1,negative
226,6,great bad either love buy,9,neutral
227,3,arrived quickly perfectly work money,-1,negative
228,4,quality disappointed awful service customer,4,negative
229,5,product quality excellent satisfied nothing,1,positive
230,4,quality disappointed awful service customer,10,negative
231,13,bad design performance poor quality,1,negative
232,6,great bad either love buy,3,neutral
233,6,great bad either love buy,-1,positive
234,4,quality disappointed awful service customer,4,negative
235,6,great bad either love buy,0,positive
236,0,quality price decent product definitely,1,neutral
237,13,bad design performance poor quality,3,negative
238,4,quality disappointed awful service customer,4,negative
239,0,quality price decent product definitely,10,neutral
240,7,okay job money quickly perfectly,1,neutral
241,4,quality disappointed awful service customer,6,negative
242,4,quality disappointed awful service customer,1,negative
243,9,product use terrible one broke,-1,negative
244,3,arrived quickly perfectly work money,-1,negative
245,7,okay job money quickly perfectly,-1,neutral
246,2,work expected performance poor bad,-1,neutral
247,5,product quality excellent satisfied nothing,-1,neutral
248,3,arrived quickly perfectly work money,-1,positive
249,6,great bad either love buy,7,positive
250,5,product quality excellent satisfied nothing,7,positive
251,13,bad design performance poor quality,6,negative
252,6,great bad either love buy,0,positive
253,9,product use terrible one broke,7,negative
254,6,great bad either love buy,0,neutral
255,7,okay job money quickly perfectly,-1,neutral
256,6,great bad either love buy,2,neutral
257,6,great bad either love buy,0,positive
258,6,great bad either love buy,0,neutral
259,6,great bad either love buy,-1,positive
260,7,okay job money quickly perfectly,1,neutral
261,5,product quality excellent satisfied nothing,-1,positive
262,3,arrived quickly perfectly work money,-1,positive
263,13,bad design performance poor quality,6,negative
264,6,great bad either love buy,10,positive
265,3,arrived quickly perfectly work money,2,negative
266,10,highly amazing experience recommend awful,3,positive
267,6,great bad either love buy,-1,positive
268,4,quality disappointed awful service customer,5,negative
269,5,product quality excellent satisfied nothing,5,positive
270,5,product quality excellent satisfied nothing,-1,neutral
271,3,arrived quickly perfectly work money,-1,positive
272,6,great bad either love buy,2,positive
273,9,product use terrible one broke,2,negative
274,3,arrived quickly perfectly work money,-1,negative
275,6,great bad either love buy,1,neutral
276,5,product quality excellent satisfied nothing,1,neutral
277,4,quality disappointed awful service customer,-1,negative
278,9,product use terrible one broke,1,negative
279,0,quality price decent product definitely,0,neutral
280,4,quality disappointed awful service customer,4,negative
281,2,work expected performance poor bad,7,neutral
282,4,quality disappointed awful service customer,7,negative
283,6,great bad either love buy,-1,neutral
284,3,arrived quickly perfectly work money,4,negative
285,0,quality price decent product definitely,0,neutral
286,10,highly amazing experience recommend awful,8,positive
287,4,quality disappointed awful service customer,3,negative
288,4,quality disappointed awful service customer,5,negative
289,6,great bad either love buy,2,positive
290,10,highly amazing experience recommend awful,0,positive
291,9,product use terrible one broke,2,negative
292,10,highly amazing experience recommend awful,0,positive
293,5,product quality excellent satisfied nothing,1,positive
294,5,product quality excellent satisfied nothing,5,neutral
295,6,great bad either love buy,-1,positive
296,6,great bad either love buy,0,positive
297,5,product quality excellent satisfied nothing,5,positive
298,4,quality disappointed awful service customer,1,negative
299,4,quality disappointed awful service customer,2,negative
300,6,great bad either love buy,5,positive
301,3,arrived quickly perfectly work money,3,negative
302,0,quality price decent product definitely,6,neutral
303,4,quality disappointed awful service customer,8,negative
304,5,product quality excellent satisfied nothing,3,positive
305,7,okay job money quickly perfectly,4,neutral
306,0,quality price decent product definitely,2,neutral
307,6,great bad either love buy,5,positive
308,6,great bad either love buy,0,neutral
309,2,work expected performance poor bad,-1,neutral
310,5,product quality excellent satisfied nothing,8,positive
311,13,bad design performance poor quality,0,negative
312,7,okay job money quickly perfectly,6,neutral
313,5,product quality excellent satisfied nothing,7,positive
314,4,quality disappointed awful service customer,5,negative
315,7,okay job money quickly perfectly,2,neutral
316,5,product quality excellent satisfied nothing,1,positive
317,4,quality disappointed awful service customer,-1,negative
318,5,product quality excellent satisfied nothing,10,positive
319,4,quality disappointed awful service customer,0,negative
320,4,quality disappointed awful service customer,2,negative
321,9,product use terrible one broke,1,negative
322,9,product use terrible one broke,1,negative
323,4,quality disappointed awful service customer,4,negative
324,0,quality price decent product definitely,6,neutral
325,9,product use terrible one broke,-1,negative
326,7,okay job money quickly perfectly,1,neutral
327,6,great bad either love buy,-1,neutral
328,3,arrived quickly perfectly work money,9,negative
329,5,product quality excellent satisfied nothing,-1,neutral
330,4,quality disappointed awful service customer,8,negative
331,6,great bad either love buy,-1,neutral
332,3,arrived quickly perfectly work money,1,positive
333,4,quality disappointed awful service customer,0,negative
334,6,great bad either love buy,5,positive
335,5,product quality excellent satisfied nothing,1,neutral
336,6,great bad either love buy,0,neutral
337,7,okay job money quickly perfectly,6,neutral
338,5,product quality excellent satisfied nothing,1,neutral
339,9,product use terrible one broke,10,negative
340,6,great bad either love buy,-1,neutral
341,5,product quality excellent satisfied nothing,2,neutral
342,6,great bad either love buy,2,positive
343,5,product quality excellent satisfied nothing,9,neutral
344,9,product use terrible one broke,8,negative
345,10,highly amazing experience recommend awful,0,positive
346,5,product quality excellent satisfied nothing,0,neutral
347,9,product use terrible one broke,5,negative
348,13,bad design performance poor quality,7,negative
349,4,quality disappointed awful service customer,5,negative
350,6,great bad either love buy,1,positive
351,6,great bad either love buy,1,neutral
352,3,arrived quickly perfectly work money,-1,positive
353,0,quality price decent product definitely,3,neutral
354,13,bad design performance poor quality,-1,negative
355,4,quality disappointed awful service customer,0,negative
356,10,highly amazing experience recommend awful,6,positive
357,6,great bad either love buy,0,positive
358,4,quality disappointed awful service customer,1,negative
359,3,arrived quickly perfectly work money,-1,negative
360,2,work expected performance poor bad,2,neutral
361,9,product use terrible one broke,0,negative
362,9,product use terrible one broke,6,negative
363,0,quality price decent product definitely,1,neutral
364,9,product use terrible one broke,0,negative
365,5,product quality excellent satisfied nothing,0,neutral
366,9,product use terrible one broke,3,negative
367,5,product quality excellent satisfied nothing,-1,positive
368,3,arrived quickly perfectly work money,-1,negative
369,13,bad design performance poor quality,3,negative
370,3,arrived quickly perfectly work money,8,negative
371,6,great bad either love buy,4,positive
372,10,highly amazing experience recommend awful,2,positive
373,0,quality price decent product definitely,4,neutral
374,6,great bad either love buy,3,neutral
375,4,quality disappointed awful service customer,4,negative
376,0,quality price decent product definitely,2,neutral
377,6,great bad either love buy,9,positive
378,5,product quality excellent satisfied nothing,-1,neutral
379,6,great bad either love buy,1,positive
380,6,great bad either love buy,-1,positive
381,2,work expected performance poor bad,0,neutral
382,9,product use terrible one broke,4,negative
383,3,arrived quickly perfectly work money,-1,negative
384,3,arrived quickly perfectly work money,-1,negative
385,5,product quality excellent satisfied nothing,5,positive
386,4,quality disappointed awful service customer,2,negative
387,2,work expected performance poor bad,-1,neutral
388,6,great bad either love buy,8,positive
389,4,quality disappointed awful service customer,-1,negative
390,13,bad design performance poor quality,1,negative
391,13,bad design performance poor quality,0,negative
392,4,quality disappointed awful service customer,9,negative
393,0,quality price decent product definitely,0,neutral
394,5,product quality excellent satisfied nothing,3,positive
395,3,arrived quickly perfectly work money,8,positive
396,3,arrived quickly perfectly work money,0,negative
397,9,product use terrible one broke,-1,negative
398,13,bad design performance poor quality,-1,negative
399,13,bad design performance poor quality,3,negative
400,6,great bad either love buy,5,neutral
