review_id,text,language,rating,sentiment,product_category,text_clean_classique,text_clean_light
63005481_rev_3,لماذا تتوقف المقاومة وتتراجع أثناء الطهي؟ أجهزة الأمن؟ التدفئة؟ أين خطأ؟,ARABIC,4.0,positive,"Maison, cuisine & bureau",لماذا تتوقف المقاومة وتتراجع أثناء أجهزة أين,لماذا تتوقف المقاومة وتتراجع أثناء الطهي؟ أجهزة الأمن؟ التدفئة؟ أين خطأ؟
mpg1544888_rev_4,ويتعين عليّ ربط جهاز استقبال خارجي,ARABIC,3.0,neutral,TV & HIGH TECH,ويتعين ربط جهاز استقبال خارجي,ويتعين عليّ ربط جهاز استقبال خارجي
mpg915615_rev_4,منتج جيد جداً ، مرضي جداً,ARABIC,5.0,positive,TV & HIGH TECH,منتج جيد مرضي,منتج جيد جداً ، مرضي جداً
65589111_rev_4,سوء الجودة,ARABIC,1.0,negative,Sports & Loisirs,سوء الجودة,سوء الجودة
mpg1447127_rev_3,منتج ممتاز يعمل بشكل مثالي، يتم تسليمها في الوقت المناسب.,ARABIC,5.0,positive,"Maison, cuisine & bureau",منتج ممتاز يعمل بشكل يتم تسليمها في الوقت المناسب,منتج ممتاز يعمل بشكل مثالي، يتم تسليمها في الوقت المناسب.
mpg1539036_rev_4,أداة جيدة بشكل عام، ولكن يوتيوب خطأ ويحتاج إلى إعادة تعيينها للعمل، وليس من المستغرب أن النسخة Android المثبتة ليست معتمدة من قبل جوجل. وإلا فإن التطبيقات الأخرى تعمل بشكل صحيح.,ARABIC,3.0,neutral,TV & HIGH TECH,أداة جيدة بشكل ولكن يوتيوب خطأ ويحتاج إلى إعادة تعيينها وليس من المستغرب أن النسخة android المثبتة ليست معتمدة من قبل جوجل وإلا فإن التطبيقات الأخرى تعمل بشكل صحيح,أداة جيدة بشكل عام، ولكن يوتيوب خطأ ويحتاج إلى إعادة تعيينها للعمل، وليس من المستغرب أن النسخة android المثبتة ليست معتمدة من قبل جوجل. وإلا فإن التطبيقات الأخرى تعمل بشكل صحيح.
65661061_rev_5,كما هو موضح، تقرير جودة الأسعار,ARABIC,5.0,positive,Sports & Loisirs,كما هو تقرير جودة الأسعار,كما هو موضح، تقرير جودة الأسعار
34408767_rev_3,جودة جيدة جداً / قوية جداً / تسليم سريع جداً.,ARABIC,5.0,positive,"Maison, cuisine & bureau",جودة جيدة قوية تسليم سريع,جودة جيدة جداً / قوية جداً / تسليم سريع جداً.
67154065_rev_3,أنا أحبك,ARABIC,5.0,positive,TV & HIGH TECH,أنا أحبك,أنا أحبك
67489671_rev_4,أجهزة ممتازة، وأوصي بتسليم السرعة السريعة في المقام الأول!,ARABIC,5.0,positive,"Maison, cuisine & bureau",أجهزة وأوصي بتسليم السرعة السريعة في المقام الأول,أجهزة ممتازة، وأوصي بتسليم السرعة السريعة في المقام الأول!
mpg1446650_rev_3,منتج جيد,ARABIC,5.0,positive,"Maison, cuisine & bureau",منتج جيد,منتج جيد
62879137_rev_4,لم يعمل,ARABIC,1.0,negative,TV & HIGH TECH,لم يعمل,لم يعمل
mpg73701_rev_4,لا تقلق، لا تقلق.,ARABIC,3.0,neutral,Sports & Loisirs,لا لا تقلق,لا تقلق، لا تقلق.
67406571_rev_3,فعّال، فاعل من الضجيج,ARABIC,5.0,positive,"Maison, cuisine & bureau",فاعل من الضجيج,فعّال، فاعل من الضجيج
67089414_rev_3,قابلة للتآكل ، بعد شهر واحد ، مقاومة أكثر من العلامات التجارية الأخرى ولكن أيضا قابلة للتآكل.,ARABIC,3.0,neutral,"Maison, cuisine & bureau",قابلة للتآكل بعد شهر واحد مقاومة أكثر من العلامات التجارية الأخرى ولكن أيضا قابلة للتآكل,قابلة للتآكل ، بعد شهر واحد ، مقاومة أكثر من العلامات التجارية الأخرى ولكن أيضا قابلة للتآكل.
60222551_rev_6,يوتيوب لا يعمل ولا نيتفليكس,ARABIC,1.0,negative,TV & HIGH TECH,يوتيوب لا يعمل ولا نيتفليكس,يوتيوب لا يعمل ولا نيتفليكس
61861572_rev_3,من الجودة الجيدة ، فإنه يخلط بشكل جيد ولا يُسخن بسرعة,ARABIC,5.0,positive,"Maison, cuisine & bureau",من الجودة الجيدة فإنه يخلط بشكل جيد ولا بسرعة,من الجودة الجيدة ، فإنه يخلط بشكل جيد ولا يُسخن بسرعة
mpg1398081_rev_5,يذكر الحجم XXL ، C'EST FAUX على لا يمكن أن تضع دجاج ????,ARABIC,2.0,negative,"Maison, cuisine & bureau",يذكر الحجم xxl cest faux على لا يمكن أن تضع دجاج,يذكر الحجم xxl ، c'est faux على لا يمكن أن تضع دجاج ????
mpg1556186_rev_4,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,ARABIC,1.0,negative,"Maison, cuisine & bureau",وقد توقف المنتج عن العمل بعد الاستخدام الثاني,وقد توقف المنتج عن العمل بعد الاستخدام الثاني
mpg1197097_rev_5,ج جيد جدا,ARABIC,5.0,positive,TV & HIGH TECH,ج جيد جدا,ج جيد جدا
60805500_rev_3,الجودة,ARABIC,5.0,positive,"Maison, cuisine & bureau",الجودة,الجودة
mpg46159_rev_5,الهشاشة,ARABIC,3.0,neutral,Sports & Loisirs,الهشاشة,الهشاشة
65029886_rev_3,حسناً ???? ماذا؟,ARABIC,3.0,neutral,TV & HIGH TECH,,حسناً ???? ماذا؟
41072832_rev_4,عزيزي جدا,ARABIC,1.0,negative,"Maison, cuisine & bureau",عزيزي جدا,عزيزي جدا
41127675_rev_4,تفتقر إلى جميع أدوات التجميع، وليس محترفًا على الإطلاق.,ARABIC,2.0,negative,Sports & Loisirs,تفتقر إلى جميع أدوات وليس على الإطلاق,تفتقر إلى جميع أدوات التجميع، وليس محترفًا على الإطلاق.
mpg77329_rev_4,الجودة العظيمة,ARABIC,1.0,negative,TV & HIGH TECH,الجودة العظيمة,الجودة العظيمة
mpg886687_rev_6,سهلة التصوير سهلة النقل سعر ميسور,ARABIC,4.0,positive,TV & HIGH TECH,سهلة التصوير سهلة النقل سعر ميسور,سهلة التصوير سهلة النقل سعر ميسور
65743968_rev_3,لا يكون البلاستيك في المطبوعات الصمغية صلباً إذا كسر بسرعة في المرحلة الأولى من الاستخدام، وظهرت شقوق.,ARABIC,3.0,neutral,"Maison, cuisine & bureau",لا يكون البلاستيك في المطبوعات الصمغية إذا كسر بسرعة في المرحلة الأولى من وظهرت شقوق,لا يكون البلاستيك في المطبوعات الصمغية صلباً إذا كسر بسرعة في المرحلة الأولى من الاستخدام، وظهرت شقوق.
mpg1398157_rev_4,الأوضاع المحددة مسبقاً ليست صحيحة تماماً، ويتعين إعادة ضبط الخلفية في كل مرة لإغلاقها بشكل صحيح.,ARABIC,3.0,neutral,"Maison, cuisine & bureau",الأوضاع المحددة ليست صحيحة ويتعين إعادة ضبط الخلفية في كل مرة لإغلاقها بشكل صحيح,الأوضاع المحددة مسبقاً ليست صحيحة تماماً، ويتعين إعادة ضبط الخلفية في كل مرة لإغلاقها بشكل صحيح.
65589111_rev_3,يظهر رائحة قوية من المطاط.,ARABIC,1.0,negative,Sports & Loisirs,يظهر رائحة قوية من المطاط,يظهر رائحة قوية من المطاط.
61067628_rev_4,أنا أوصي بذلك,ARABIC,5.0,positive,Sports & Loisirs,أنا أوصي بذلك,أنا أوصي بذلك
mpg1146244_rev_5,ثمن Bon Rapport على الجودة، ولكن ليس على القمة :) ,ARABIC,3.0,neutral,Sports & Loisirs,ثمن bon rapport على ولكن ليس على القمة,ثمن bon rapport على الجودة، ولكن ليس على القمة :)
67315506_rev_5,ممتاز، لا يوجد سوى بلوتوث.,ARABIC,5.0,positive,TV & HIGH TECH,لا يوجد سوى بلوتوث,ممتاز، لا يوجد سوى بلوتوث.
65769100_rev_5,15 لترًا صحيحًا ولكن التوزيع هو صفر 7.5 لترًا صغيرًا جدًا من حيث الحجم البصري ومفيدًا جدًا من مقلاة 5 لترًا.,ARABIC,1.0,negative,"Maison, cuisine & bureau",ولكن التوزيع هو صفر من حيث الحجم البصري من مقلاة,15 لترًا صحيحًا ولكن التوزيع هو صفر 7.5 لترًا صغيرًا جدًا من حيث الحجم البصري ومفيدًا جدًا من مقلاة 5 لترًا.
67236474_rev_3,الضغط؟ لا حقاً، المادة والمرونة خفيفة جداً للاضغط على أي شيء.,ARABIC,3.0,neutral,Sports & Loisirs,لا المادة والمرونة خفيفة للاضغط على أي شيء,الضغط؟ لا حقاً، المادة والمرونة خفيفة جداً للاضغط على أي شيء.
mpg1141377_rev_4,لا بأس بذلك.,ARABIC,3.0,neutral,Sports & Loisirs,لا بأس بذلك,لا بأس بذلك.
62172946_rev_4,الجودة الجيدة,ARABIC,4.0,positive,TV & HIGH TECH,الجودة الجيدة,الجودة الجيدة
65603595_rev_4,لم يتم تسليم المنتج الذي طلبته ولم يتم سداد طلبي منذ 28 يوماً ... خدمة العملاء ضعيفة !!!!,ARABIC,1.0,negative,TV & HIGH TECH,لم يتم تسليم المنتج الذي طلبته ولم يتم سداد طلبي منذ خدمة العملاء ضعيفة,لم يتم تسليم المنتج الذي طلبته ولم يتم سداد طلبي منذ 28 يوماً ... خدمة العملاء ضعيفة !!!!
